Age	Attrition	Department	EducationField	EmployeID	Gender	JobRole	MaritalStatus	MonthlyIncome
41	Yes	Sales	Life Sciences	1	Female	Sales Executive	Single	5993
49	No	Research & Development	Life Sciences	2	Male	Research Scientist	Married	5130
37	Yes	Research & Development	Other	4	Male	Laboratory Technician	Single	2090
33	No	Research & Development	Life Sciences	5	Female	Research Scientist	Married	2909
27	No	Research & Development	Medical	7	Male	Laboratory Technician	Married	3468
32	No	Research & Development	Life Sciences	8	Male	Laboratory Technician	Single	3068
59	No	Research & Development	Medical	10	Female	Laboratory Technician	Married	2670
30	No	Research & Development	Life Sciences	11	Male	Laboratory Technician	Divorced	2693
-38	No	Research & Development	Life Sciences	12	Male	Manufacturing Director	Single	9526
-36	No	Research & Development	Medical	13	Male	Healthcare Representative	Married	5237
35	No	Research & Development	Medical	14	Male	Laboratory Technician	Married	2426
29	No	Research & Development	Life Sciences	15	Female	Laboratory Technician	Single	4193
31	No	Research & Development	Life Sciences	16	Male	Research Scientist	Divorced	2911
34	No	Research & Development	Medical	18	Male	Laboratory Technician	Divorced	2661
28	Yes	Research & Development	Life Sciences	19	Male	Laboratory Technician	Single	2028
29	No	Research & Development	Life Sciences	20	Female	Manufacturing Director	Divorced	9980
32	No	Research & Development	Life Sciences	21	Male	Research Scientist	Divorced	3298
22	No	Research & Development	Medical	22	Male	Laboratory Technician	Divorced	2935
-53	No	Sales	Life Sciences	23	Female	Manager	Married	15427
38	No	Research & Development	Life Sciences	24	Male	Research Scientist	Single	3944
24	No	Research & Development	Other	26	Female	Manufacturing Director	Divorced	4011
36	Yes	Sales	Life Sciences	27	Male	Sales Representative	Single	3407
34	No	Research & Development	Life Sciences	28	Female	Research Director	Single	11994
21	No	Research & Development	Life Sciences	30	Male	Research Scientist	Single	1232
34	Yes	Research & Development	Medical	31	Male	Research Scientist	Single	2960
53	No	Research & Development	Other	32	Female	Manager	Divorced	19094
32	Yes	Research & Development	Life Sciences	33	Female	Research Scientist	Single	3919
42	No	Sales	Marketing	35	Male	Sales Executive	Married	6825
44	No	Research & Development	Medical	36	Female	Healthcare Representative	Married	10248
46	No	Sales	Marketing	38	Female	Manager	Single	18947
33	No	Research & Development	Medical	39	Male	Laboratory Technician	Single	2496
44	No	Research & Development	Other	40	Male	Healthcare Representative	Married	6465
30	No	Research & Development	Medical	41	Male	Laboratory Technician	Single	2206
39	Yes	Sales	Technical Degree	42	Male	Sales Representative	Married	2086
24	Yes	Research & Development	Medical	45	Male	Research Scientist	Married	2293
43	No	Research & Development	Medical	46	Female	Research Scientist	Divorced	2645
50	Yes	Sales	Marketing	47	Male	Sales Representative	Married	2683
35	No	Sales	Marketing	49	Female	Sales Representative	Married	2014
36	No	Research & Development	Life Sciences	51	Female	Research Scientist	Married	3419
33	No	Sales	Life Sciences	52	Female	Sales Executive	Married	5376
35	No	Research & Development	Other	53	Male	Laboratory Technician	Divorced	1951
27	No	Research & Development	Life Sciences	54	Female	Laboratory Technician	Divorced	2341
26	Yes	Research & Development	Life Sciences	55	Male	Laboratory Technician	Single	2293
27	No	Sales	Life Sciences		Male	Sales Executive	Single	8726
30	No	Research & Development	Medical	57		Laboratory Technician	Single	4011
41	Yes	Research & Development	Technical Degree	58	Female	Research Director	Married	19545
34	No		Marketing	60	Male	Sales Executive	Single	4568
37	No	Research & Development	Life Sciences	61	Male	Research Scientist	Married	3022
46	No	Sales		62	Male	Sales Executive	Single	5772
35	No	Research & Development	Life Sciences	63	Male	Laboratory Technician	Married	2269
48	Yes	Research & Development	Life Sciences	64	Male	Laboratory Technician	Single	5381
28	Yes	Research & Development	Technical Degree	65	Male	Laboratory Technician	Single	3441
44	No	Sales	Marketing	68	Female	Sales Executive	Divorced	5454
-35	No	Research & Development	Medical		Male	Healthcare Representative	Married	9884
26	No	Sales	Marketing	72	Female	Sales Executive	Married	4157
33	No	Research & Development	Life Sciences	73	Female	Research Director	Single	13458
35	No	Sales	Life Sciences	74	Male	Sales Executive	Married	9069
35	No	Research & Development	Medical	75	Female	Laboratory Technician	Married	4014
31	No	Research & Development	Life Sciences	76	Male	Laboratory Technician	Divorced	5915
37	No	Research & Development	Life Sciences	77	Male	Manufacturing Director	Divorced	5993
32	No	Research & Development	Medical	78	Male		Married	6162
38	No	Research & Development	Life Sciences		Female	Laboratory Technician	Single	2406
50	No	Research & Development	Medical	80	Female	Research Director	Divorced	18740
59	No	Sales	Life Sciences	81	Female	Sales Executive	Single	7637
36	No	Research & Development	Technical Degree	83	Female	Healthcare Representative	Divorced	10096
55	No	Research & Development	Medical	84	Female	Manager	Divorced	14756
36	No	Research & Development	Life Sciences	85	Male	Manufacturing Director	Single	6499
45	No	Research & Development	Life Sciences	86	Male	Research Scientist	Divorced	9724
35	No	Research & Development	Medical	88	Male	Research Scientist	Married	2194
36	Yes	Research & Development	Medical	90	Male	Research Scientist	Married	3388
59	No	Sales	Life Sciences	91	Female	Sales Executive	Single	5473
29	No	Research & Development	Life Sciences	94	Male	Research Scientist	Married	2703
31	No	Research & Development	Medical	95	Male	Research Scientist	Single	2501
32	No	Research & Development	Life Sciences	96	Male	Research Scientist	Married	6220
36	No	Research & Development	Life Sciences	97	Female	Laboratory Technician	Married	3038
31	No	Research & Development	Life Sciences	98	Female	Manufacturing Director	Single	4424
35	No	Sales	Marketing	100	Male	Sales Executive	Single	4312
45	No	Research & Development	Other	101	Male	Research Director	Married	13245
37	No	Research & Development	Medical	102	Male	Research Director	Single	13664
46	No	Human Resources	Medical	103	Male	Human Resources	Divorced	5021
30	No	Research & Development	Life Sciences	104	Male	Laboratory Technician	Married	5126
35	No	Research & Development	Medical	105	Male	Research Scientist	Single	2859
55	No	Sales	Life Sciences	106	Male	Sales Executive	Married	10239
38	No	Research & Development	Medical	107	Female	Research Scientist	Divorced	5329
34	No	Research & Development	Medical	110	Male	Manufacturing Director	Married	4325
56	No	Research & Development	Life Sciences	112	Male	Manufacturing Director	Single	7260
23	No	Sales	Technical Degree	113	Male	Sales Representative	Divorced	2322
51	No	Research & Development	Life Sciences	116	Male	Laboratory Technician	Married	2075
30	No	Research & Development	Life Sciences	117	Male	Healthcare Representative	Married	4152
46	Yes	Sales	Medical	118	Male	Sales Executive	Single	9619
